"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"1792 Ridgemont Reserve Bourbon","8.75","0.32","12","$$","Bourbon-like","","","USA","Bourbon"
"66 Gilead Crimson Rye","8.35","0.56","4","$$$$","Rye-like","","","Canada","Blend"
"66 Gilead The Wild Oak","8.07","0.7","4","$$$","Rye-like","","","Canada","Blend"
"8 Seconds","7.59","0.51","4","$$","Rye-like","","","Canada","Blend"
"Aberfeldy 12yo","8.17","0.29","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aberfeldy 21yo","8.78","0.19","9","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aberlour 10yo","8.26","0.45","12","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour 12yo Double Cask Matured","8.38","0.18","10","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour 12yo Non-Chill-Filtered","8.77","0.23","9","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour 16yo Double Cask Matured","8.75","0.18","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour 18yo","8.79","0.29","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (all batches)","9","0.22","20","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 30)","9","0.18","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 32)","8.91","0.74","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 33)","9.2","0.15","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 34)","8.95","0.34","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 35)","9.05","0.24","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 36)","9.04","0.51","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 37)","9.15","0.07","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 38)","8.68","0.18","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 39)","9.13","0.24","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 40)","9.15","0.19","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 42)","8.83","0.13","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 45)","9.03","0.32","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 47)","8.94","0.4","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 48)","8.83","0.58","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 49)","9.25","0.07","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 50)","8.75","0.39","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Alberta Premium","8.24","0.59","10","$","Rye-like","","","Canada","Blend"
"Alberta Premium Dark Horse","8.65","0.37","13","$","Rye-like","","","Canada","Blend"
"Alberta Springs 10yo","8.33","0.5","8","$","Rye-like","","","Canada","Blend"
"Amrut Fusion","8.94","0.27","18","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Peated Single Malt","8.76","0.35","9","$$$$","SingleMalt-like","J","J","India","Malt"
"Amrut Peated Single Malt Cask Strength","9.24","0.26","7","$$$$","SingleMalt-like","J","J","India","Malt"
"Amrut Portonova","9.06","0.38","11","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Amrut Portpipe Peated Single Cask (2009/2013)","8.68","0.48","5","$$$$","SingleMalt-like","J","J","India","Malt"
"Amrut Single Cask Bourbon","8.74","0.36","9","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Single Malt","8.4","0.49","12","$$$","SingleMalt-like","GH","G","India","Malt"
"Ancient Age 10yo Kentucky Straight Bourbon","8.68","0.47","3","$","Bourbon-like","","","USA","Bourbon"
"Ancient Age Kentucky Straight Bourbon","7.64","0.68","6","$","Bourbon-like","","","USA","Bourbon"
"AnCnoc 12yo","8.67","0.38","15","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"AnCnoc 16yo","8.67","0.37","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"AnCnoc 22yo","8.83","0.26","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"AnCnoc Flaughter","8.73","0.29","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
